,Movie,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
0,Inside Out 2,"1,59,59,83,694","63,78,52,840",40%,"95,81,30,854",60%,2024
1,Deadpool & Wolverine,"1,04,31,80,185","50,69,37,007",48.60%,"53,62,43,178",51.40%,2024
2,Despicable Me 4,"80,85,37,571","33,25,83,715",41.10%,"47,59,53,856",58.90%,2024
3,Dune: Part Two,"71,18,44,358","28,21,44,358",39.60%,"42,97,00,000",60.40%,2024
4,Godzilla x Kong: The New Empire,"56,76,50,016","19,63,50,016",34.60%,"37,13,00,000",65.40%,2024
5,Kung Fu Panda 4,"54,78,20,030","19,35,90,620",35.30%,"35,42,29,410",64.70%,2024
6,Bad Boys: Ride or Die,"40,01,24,003","19,33,75,986",48.30%,"20,67,48,017",51.70%,2024
7,Kingdom of the Planet of the Apes,"39,73,66,385","17,11,18,400",43.10%,"22,62,47,985",56.90%,2024
8,Twisters,"31,38,66,855","22,58,66,855",72%,"8,80,00,000",28%,2024
9,A Quiet Place: Day One,"26,08,94,737","13,86,94,737",53.20%,"12,22,00,000",46.80%,2024
10,The Garfield Movie,"22,70,64,902","9,18,59,556",40.50%,"13,52,05,346",59.50%,2024
11,Ghostbusters: Frozen Empire,"20,18,56,657","11,33,76,590",56.20%,"8,84,80,067",43.80%,2024
12,IF,"19,01,46,808","11,11,49,917",58.50%,"7,89,96,891",41.50%,2024
13,Bob Marley: One Love,"18,07,46,602","9,68,93,170",53.60%,"8,38,53,432",46.40%,2024
14,The Fall Guy,"17,83,72,311","9,29,00,355",52.10%,"8,54,71,956",47.90%,2024
15,Furiosa: A Mad Max Saga,"17,27,75,791","6,74,75,791",39.10%,"10,53,00,000",60.90%,2024
16,The Beekeeper,"15,27,20,535","6,62,20,535",43.40%,"8,65,00,000",56.60%,2024
17,Civil War,"12,25,33,193","6,86,03,430",56%,"5,39,29,763",44%,2024
18,Detective Conan: The Million-Dollar Pentagram,"10,67,51,233",0,0,"10,67,51,233",100%,2024
19,Mean Girls,"10,47,93,431","7,24,04,248",69.10%,"3,23,89,183",30.90%,2024
20,Madame Web,"10,02,98,817","4,38,17,106",43.70%,"5,64,81,711",56.30%,2024
21,Exhuma,"9,79,86,040","23,10,900",2.40%,"9,56,75,140",97.60%,2024
22,Argylle,"9,62,21,031","4,52,07,275",47%,"5,10,13,756",53%,2024
23,Longlegs,"9,42,50,549","7,17,91,631",76.20%,"2,24,58,918",23.80%,2024
24,Challengers,"9,42,19,408","5,01,19,408",53.20%,"4,41,00,000",46.80%,2024
25,It Ends with Us,"9,33,84,596","6,34,32,082",67.90%,"2,99,52,514",32.10%,2024
26,Haikyuu!! The Dumpster Battle,"9,32,20,807","70,71,622",7.60%,"8,61,49,185",92.40%,2024
27,The Roundup: Punishment,"8,35,39,202","11,54,475",1.40%,"8,23,84,727",98.60%,2024
28,A Little Something Extra,"7,70,15,599",0,0,"7,70,15,599",100%,2024
29,Night Swim,"5,47,44,768","3,24,94,740",59.40%,"2,22,50,028",40.60%,2024
30,The First Omen,"5,38,45,880","2,00,92,802",37.30%,"3,37,53,078",62.70%,2024
31,Back to Black,"5,08,56,606","61,57,705",12.10%,"4,46,98,901",87.90%,2024
32,Tarot,"4,91,27,750","1,87,71,004",38.20%,"3,03,56,746",61.80%,2024
33,The Count of Monte-Cristo,"4,81,37,114",0,0,"4,81,37,114",100%,2024
34,The Strangers: Chapter 1,"4,77,58,326","3,52,02,562",73.70%,"1,25,55,764",26.30%,2024
35,Trap,"4,71,79,448","3,04,79,448",64.60%,"1,67,00,000",35.40%,2024
36,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"4,43,54,825","1,76,57,658",39.80%,"2,66,97,167",60.20%,2024
37,Imaginary,"4,36,00,455","2,80,09,161",64.20%,"1,55,91,294",35.80%,2024
38,Abigail,"4,24,11,043","2,58,67,515",61%,"1,65,43,528",39%,2024
39,Arthur the King,"4,08,35,924","2,50,49,006",61.30%,"1,57,86,918",38.70%,2024
40,Fly Me to the Moon,"4,05,40,700","2,03,17,630",50.10%,"2,02,23,070",49.90%,2024
41,The Bikeriders,"3,56,25,207","2,17,14,630",61%,"1,39,10,577",39%,2024
42,Monkey Man,"3,50,04,952","2,51,16,955",71.80%,"98,87,997",28.20%,2024
43,Horizon: An American Saga - Chapter 1,"3,42,58,604","2,90,35,702",84.80%,"52,22,902",15.20%,2024
44,The Watchers,"3,29,71,404","1,90,71,404",57.80%,"1,39,00,000",42.20%,2024
45,Doraemon the Movie: Nobita's Earth Symphony,"3,27,59,618",0,0,"3,27,59,618",100%,2024
46,Mobile Suit Gundam Seed Freedom,"3,21,25,992",0,0,"3,21,25,992",100%,2024
47,A Strange House,"3,08,64,331",0,0,"3,08,64,331",100%,2024
48,Chantal in Fairyland,"2,85,67,561",0,0,"2,85,67,561",100%,2024
49,Immaculate,"2,84,14,678","1,56,71,307",55.20%,"1,27,43,371",44.80%,2024
50,The Master and Margarita,"2,79,89,335",0,0,"2,79,89,335",100%,2024
51,The Ministry of Ungentlemanly Warfare,"2,74,03,786","2,05,35,053",74.90%,"68,68,733",25.10%,2024
52,Wicked Little Letters,"2,70,24,623","50,08,179",18.50%,"2,20,16,444",81.50%,2024
53,Kalki 2898 AD,"2,53,41,218","1,82,89,575",72.20%,"70,51,643",27.80%,2024
54,Kingdom 4: Return of the Great General,"2,29,54,872",0,0,"2,29,54,872",100%,2024
55,Mai,"2,17,14,524",0,0,"2,17,14,524",100%,2024
56,Autumn and the Black Jaguar,"2,14,95,226",0,0,"2,14,95,226",100%,2024
57,Unsung Hero,"2,11,95,064","2,03,35,239",95.90%,"8,59,825",4.10%,2024
58,MaXXXine,"2,08,79,276","1,50,82,039",72.20%,"57,97,237",27.80%,2024
59,Lyod 3,"2,06,15,744",0,0,"2,06,15,744",100%,2024
60,Ordinary Angels,"2,05,66,982","1,91,74,421",93.20%,"13,92,561",6.80%,2024
61,Cabrini,"2,04,57,011","1,95,12,134",95.40%,"9,44,877",4.60%,2024
62,Pilot,"2,02,97,907",0,0,"2,02,97,907",100%,2024
63,"La planète des singes, une odyssée de l'espèce","1,95,15,102",0,0,"1,95,15,102",100%,2024
64,Star Wars: Episode I - The Phantom Menace 2024 Re-release,"1,94,29,994","1,30,29,994",67.10%,"64,00,000",32.90%,2024
65,Face Off 7: One Wish,"1,93,53,760",0,0,"1,93,53,760",100%,2024
66,Golden Kamuy,"1,90,77,748",0,0,"1,90,77,748",100%,2024
67,Harold and the Purple Crayon,"1,90,72,061","1,39,85,241",73.30%,"50,86,820",26.70%,2024
68,Cocorico,"1,80,37,432",0,0,"1,80,37,432",100%,2024
69,Escape,"1,78,68,057","2,51,793",1.40%,"1,76,16,264",98.60%,2024
70,Guest from the Future,"1,77,44,561",0,0,"1,77,44,561",100%,2024
71,Twilight of the Warriors: Walled In,"1,65,06,349","1,44,871",0.90%,"1,63,61,478",99.10%,2024
72,Kleks Academy,"1,53,48,026",0,0,"1,53,48,026",100%,2024
73,Borderlands,"1,49,59,526","1,02,39,545",68.40%,"47,19,981",31.60%,2024
74,The Chosen: S4 Episodes 1-3,"1,48,73,918","1,44,09,169",96.90%,"4,64,749",3.10%,2024
75,Late Night with the Devil,"1,48,47,115","1,00,01,000",67.40%,"48,46,115",32.60%,2024
76,Hijack 1971,"1,40,76,578","2,42,069",1.70%,"1,38,34,509",98.30%,2024
77,Kinds of Kindness,"1,35,07,340","50,38,931",37.30%,"84,68,409",62.70%,2024
78,Blue Lock: Episode Nagi,"1,33,81,837","18,55,384",13.90%,"1,15,26,453",86.10%,2024
79,Article 370,"1,32,22,021","10,88,790",8.20%,"1,21,33,231",91.80%,2024
80,Letuchiy korabl,"1,28,86,684",0,0,"1,28,86,684",100%,2024
81,Love Lies Bleeding,"1,26,04,176","83,35,797",66.10%,"42,68,379",33.90%,2024
82,Handsome Guys,"1,23,91,582",0,0,"1,23,91,582",100%,2024
83,Citizen of a Kind,"1,19,76,305",0,0,"1,19,76,305",100%,2024
84,Sound of Hope: The Story of Possum Trot,"1,16,07,239","1,16,07,239",100%,0,0,2024
85,Maison de retraite 2,"1,11,96,943",0,0,"1,11,96,943",100%,2024
86,Father There is Only One 4,"1,11,44,131",0,0,"1,11,44,131",100%,2024
87,A Million Minutes,"1,10,77,140",0,0,"1,10,77,140",100%,2024
88,Cat and Dog,"1,07,18,048",0,0,"1,07,18,048",100%,2024
89,Alienoid: The Return to the Future,"1,06,93,858","60,720",0.60%,"1,06,33,138",99.40%,2024
90,Lisa Frankenstein,"99,27,714","97,74,285",98.50%,"1,53,429",1.50%,2024
91,The Exorcism,"94,83,691","45,30,418",47.80%,"49,53,273",52.20%,2024
92,The Chosen: S4 Episodes 4-6,"94,82,744","94,82,744",100%,0,0,2024
